Episode Number,Episode Name,Originally Aired
1938 x 37,Daffy Duck in Hollywood,1938-12-12
1938 x 38,Porky the Gob,1938-12-17
1938 x 39,Count Me Out,1938-12-17
1938 x 40,The Mice Will Play,1938-12-31
1939 x 1,The Lone Stranger and Porky,1939-01-07
1939 x 2,Dog Gone Modern,1939-01-14
1939 x 3,It's an Ill Wind,1939-01-28
1939 x 4,Hamateur Night,1939-01-28
1939 x 5,Robin Hood Makes Good,1939-02-11
1939 x 6,Porky's Tire Trouble,1939-02-18
1939 x 7,Gold Rush Daze,1939-02-25
1939 x 8,A Day at the Zoo,1939-03-11
1939 x 9,Porky's Movie Mystery,1939-03-11
1939 x 10,Prest-O Change-O,1939-03-25
1939 x 11,Chicken Jitters,1939-04-01
1939 x 12,Bars and Stripes Forever,1939-04-08
1939 x 13,Daffy Duck and the Dinosaur,1939-04-22
1939 x 14,Porky and Teabiscuit,1939-04-22
1939 x 15,Thugs with Dirty Mugs,1939-05-06
1939 x 16,Kristopher Kolumbus Jr.,1939-05-13
1939 x 17,Naughty But Mice,1939-05-20
1939 x 18,Believe It or Else,1939-06-03
1939 x 19,Polar Pals,1939-06-03
1939 x 20,Hobo Gadget Band,1939-06-17
1939 x 21,Scalp Trouble,1939-06-24
1939 x 22,Old Glory,1939-07-01
1939 x 23,Porky's Picnic,1939-07-15
1939 x 24,Dangerous Dan McFoo,1939-07-15
1939 x 25,Snowman's Land,1939-07-29
1939 x 26,Wise Quacks,1939-08-05
1939 x 27,Hare-um Scare-um,1939-08-12
1939 x 28,Detouring America,1939-08-26
1939 x 29,Little Brother Rat,1939-09-02
1939 x 30,Porky's Hotel,1939-09-02
1939 x 31,Sioux Me,1939-09-09
1939 x 32,Land of the Midnight Fun,1939-09-23
1939 x 33,Jeepers Creepers,1939-09-23
1939 x 34,Naughty Neighbors,1939-10-07
1939 x 35,The Little Lion Hunter,1939-10-07
1939 x 36,The Good Egg,1939-10-21
1939 x 37,Pied Piper Porky,1939-11-04
1939 x 38,Fresh Fish,1939-11-04
1939 x 39,Fagin's Freshman,1939-11-18
1939 x 40,Porky the Giant Killer,1939-11-18
1939 x 41,Sniffles and the Bookworm,1939-12-02
1939 x 42,Screwball Football,1939-12-16
1939 x 43,The Film Fan,1939-12-16
1939 x 44,The Curious Puppy,1939-12-30
1940 x 1,Porky's Last Stand,1940-01-06
1940 x 2,The Early Worm Gets the Bird,1940-01-13
1940 x 3,Africa Squeaks,1940-01-27
1940 x 4,Mighty Hunters,1940-01-27
1940 x 5,Busy Bakers,1940-02-10
1940 x 6,Ali-Baba Bound,1940-02-10
1940 x 7,Elmer's Candid Camera,1940-03-02
1940 x 8,Pilgrim Porky,1940-03-16
1940 x 9,Cross Country Detours,1940-03-16
1940 x 10,Confederate Honey,1940-03-30
1940 x 11,The Bear's Tale,1940-04-13
1940 x 12,Slap Happy Pappy,1940-04-13
1940 x 13,Porky's Poor Fish,1940-04-27
1940 x 14,The Hardship of Miles Standish,1940-04-27
1940 x 15,Sniffles Takes a Trip,1940-05-11
1940 x 16,You Ought to Be in Pictures,1940-05-18
1940 x 17,A Gander at Mother Goose,1940-05-25
1940 x 18,Tom Thumb in Trouble,1940-06-08
1940 x 19,The Chewin' Bruin,1940-06-08
1940 x 20,Circus Today,1940-06-22
1940 x 21,Little Blabbermouse,1940-07-06
1940 x 22,Porky's Baseball Broadcast,1940-07-06
1940 x 23,The Egg Collector,1940-07-20
1940 x 24,A Wild Hare,1940-07-27
1940 x 25,Ghost Wanted,1940-08-10
1940 x 26,Patient Porky,1940-08-24
1940 x 27,Ceiling Hero,1940-08-24
1940 x 28,Malibu Beach Party,1940-09-14
1940 x 29,Calling Dr. Porky,1940-09-21
1940 x 30,Stage Fright,1940-09-28
1940 x 31,Prehistoric Porky,1940-10-12
1940 x 32,Holiday Highlights,1940-10-12
1940 x 33,Good Night Elmer,1940-10-26
1940 x 34,The Sour Puss,1940-11-02
1940 x 35,Wacky Wildlife,1940-11-09
1940 x 36,Bedtime for Sniffles,1940-11-23
1940 x 37,Porky's Hired Hand,1940-11-30
1940 x 38,Of Fox and Hounds,1940-12-07
1940 x 39,The Timid Toreador,1940-12-21
1940 x 40,Shop Look & Listen,1940-12-21
1941 x 1,Elmer's Pet Rabbit,1941-01-04
1941 x 2,Porky's Snooze Reel,1941-01-11
1941 x 3,The Fighting 69½th,1941-01-18
1941 x 4,Sniffles Bells the Cat,1941-02-01
1941 x 5,The Haunted Mouse,1941-02-15
1941 x 6,The Crackpot Quail,1941-02-15
1941 x 7,The Cat's Tale,1941-03-01
1941 x 8,"Joe Glow, the Firefly",1941-03-08
1941 x 9,Tortoise Beats Hare,1941-03-15
1941 x 10,Porky's Bear Facts,1941-03-29
1941 x 11,Goofy Groceries,1941-03-29
1941 x 12,Toy Trouble,1941-04-12
1941 x 13,Porky's Preview,1941-04-19
1941 x 14,The Trial of Mr. Wolf,1941-04-26
1941 x 15,Porky's Ant,1941-05-10
1941 x 16,Farm Frolics,1941-05-10
1941 x 17,Hollywood Steps Out,1941-05-24
1941 x 18,A Coy Decoy,1941-06-07
1941 x 19,Hiawatha's Rabbit Hunt,1941-06-07
1941 x 20,Porky's Prize Pony,1941-06-21
1941 x 21,The Wacky Worm,1941-06-21
1941 x 22,Meet John Doughboy,1941-07-05
1941 x 23,The Heckling Hare,1941-07-05
1941 x 24,Inki and the Lion,1941-07-19
1941 x 25,Aviation Vacation,1941-08-02
1941 x 26,"We, the Animals- Squeak!",1941-08-09
1941 x 27,Sport Chumpions,1941-08-16
1941 x 28,The Henpecked Duck,1941-08-30
1941 x 29,Snowtime for Comedy,1941-08-30
1941 x 30,All This and Rabbit Stew,1941-09-13
1941 x 31,Notes to You,1941-09-20
1941 x 32,The Brave Little Bat,1941-09-27
1941 x 33,The Bug Parade,1941-10-11
1941 x 34,Robinson Crusoe Jr.,1941-10-25
1941 x 35,Rookie Revue,1941-10-25
1941 x 36,Saddle Silly,1941-11-08
1941 x 37,Porky's Midnight Matinee,1941-11-22
1941 x 38,The Cagey Canary,1941-11-22
1941 x 39,Rhapsody in Rivets,1941-12-06
1941 x 40,Wabbit Twouble,1941-12-20
1941 x 41,Porky's Pooch,1941-12-27
1942 x 1,Hop Skip and a Chump,1942-01-13
1942 x 2,Porky's Pastry Pirates,1942-01-17
1942 x 3,The Bird Came C.O.D.,1942-01-17
1942 x 4,Aloha Hooey,1942-01-31
1942 x 5,Who's Who in the Zoo,1942-02-14
1942 x 6,Porky's Cafe,1942-02-21
1942 x 7,Conrad the Sailor,1942-02-28
1942 x 8,Crazy Cruise,1942-03-14
1942 x 9,The Wabbit Who Came to Supper,1942-03-28
1942 x 10,Saps in Chaps,1942-04-11
1942 x 11,Horton Hatches the Egg,1942-04-11
1942 x 12,Dog Tired,1942-04-25
1942 x 13,Daffy's Southern Exposure,1942-05-02
1942 x 14,The Wacky Wabbit,1942-05-02
1942 x 15,The Draft Horse,1942-05-09
1942 x 16,Lights Fantastic,1942-05-23
1942 x 17,Nutty News,1942-05-23
1942 x 18,"Hold the Lion, Please",1942-06-06
1942 x 19,Hobby Horse-Laffs,1942-06-06
1942 x 20,Gopher Goofy,1942-06-27
1942 x 21,Double Chaser,1942-06-27
1942 x 22,Bugs Bunny Gets the Boid,1942-07-11
1942 x 23,Wacky Blackout,1942-07-11
1942 x 24,Foney Fables,1942-08-01
1942 x 25,The Ducktators,1942-08-01
1942 x 26,The Squawkin' Hawk,1942-08-08
1942 x 27,Fresh Hare,1942-08-22
1942 x 28,Eatin' on the Cuff or The Moth Who Came to Dinner,1942-08-22
1942 x 29,Fox Pop,1942-09-05
1942 x 30,The Impatient Patient,1942-09-05
1942 x 31,The Dover Boys at Pimento University or The Rivals of Roquefort Hall,1942-09-19
1942 x 32,The Hep Cat,1942-10-03
1942 x 33,The Sheepish Wolf,1942-10-17
1942 x 34,The Daffy Duckaroo,1942-10-24
1942 x 35,The Hare-Brained Hypnotist,1942-10-31
1942 x 36,A Tale of Two Kitties,1942-11-21
1942 x 37,Ding Dog Daddy,1942-12-05
1942 x 38,My Favorite Duck,1942-12-05
1942 x 39,Case of the Missing Hare,1942-12-12
1943 x 1,Coal Black and de Sebben Dwarfs,1943-01-16
1943 x 2,Confusions of a Nutzy Spy,1943-01-23
1943 x 3,Pigs in a Polka,1943-02-02
1943 x 4,Tortoise Wins by a Hare,1943-02-20
1943 x 5,To Duck or Not to Duck,1943-03-06
1943 x 6,The Fifth-Column Mouse,1943-03-06
1943 x 7,Flop Goes the Weasel,1943-03-20
1943 x 8,Hop and Go,1943-03-27
1943 x 9,Super-Rabbit,1943-04-03
1943 x 10,The Unbearable Bear,1943-04-17
1943 x 11,The Wise Quacking Duck,1943-05-01
1943 x 12,Greetings Bait,1943-05-15
1943 x 13,Tokio Jokio,1943-05-15
1943 x 14,Yankee Doodle Daffy,1943-06-05
1943 x 15,Jack-Wabbit and the Beanstalk,1943-06-12
1943 x 16,The Aristo-Cat,1943-06-19
1943 x 17,Wackiki Wabbit,1943-07-03
1943 x 18,Porky Pig's Feat,1943-07-17
1943 x 19,Tin Pan Alley Cats,1943-07-17
1943 x 20,Scrap Happy Daffy,1943-08-21
1943 x 21,Hiss and Make Up,1943-09-11
1943 x 22,A Corny Concerto,1943-09-18
1943 x 23,Fin'n Catty,1943-10-23
1943 x 24,Falling Hare,1943-10-30
1943 x 25,Inki and the Minah Bird,1943-11-13
1943 x 26,Daffy- The Commando,1943-11-20
1943 x 27,An Itch in Time,1943-12-04
1943 x 28,Puss N' Booty,1943-12-11
1944 x 1,Little Red Riding Rabbit,1944-01-04
1944 x 2,What's Cookin' Doc?,1944-01-08
1944 x 3,Meatless Flyday,1944-01-29
1944 x 4,Tom Turk and Daffy,1944-02-12
1944 x 5,Bugs Bunny and the Three Bears,1944-02-26
1944 x 6,I Got Plenty of Mutton,1944-03-11
1944 x 7,The Weakly Reporter,1944-03-25
1944 x 8,Tick Tock Tuckered,1944-04-08
1944 x 9,Bugs Bunny Nips the Nips,1944-04-22
1944 x 10,Swooner Crooner,1944-05-06
1944 x 11,Russian Rhapsody,1944-05-20
1944 x 12,Duck Soup to Nuts,1944-05-27
1944 x 13,Angel Puss,1944-06-03
1944 x 14,Slightly Daffy,1944-06-17
1944 x 15,Hare Ribbin',1944-06-24
1944 x 16,Brother Brat,1944-07-15
